Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
667,402591,312,55.7,41290,19.6
668,402784,227,38.8,41314,19.6
669,402942,399,87.3,41340,18.8
670,404462,551,165,41474,18.5
671,406202,295,51.7,41566,19.6
672,406416,96,21.7,41664,19.6
673,408098,561,174,41755,18.5
674,408259,56,16.8,41783,19.6
675,409771,348,65.6,41909,19.6
676,409965,339,63.0,41935,19.6
677,410771,152,26.8,42027,19.6
678,411208,103,22.2,42053,19.6
679,411324,56,16.8,42077,19.6
680,411736,307,54.5,42171,19.6
681,411787,214,36.5,42195,19.6
682,413336,792,615,42289,17.8
683,414583,440,109,42382,18.8
684,414617,124,23.9,42409,19.6
685,414730,92,21.3,42434,19.6
686,415295,121,23.7,42724,19.6
687,415399,302,53.3,42748,19.6
688,415433,102,22.2,42772,19.6
689,416613,195,33.2,42864,19.6
690,416739,60,17.4,42888,19.6
691,416920,99,21.9,42913,19.6
692,416952,391,82.4,42938,18.8
693,417086,190,32.3,42963,19.6
694,418231,60,17.4,43092,19.6
695,418838,121,23.7,43117,19.6
696,419211,273,47.3,43143,19.6
697,419428,199,33.9,43238,19.6
698,420546,167,28.8,43331,19.6
699,421058,78,19.9,43356,19.6
700,421444,76,19.7,43450,19.6
701,422577,174,29.8,43544,19.6
702,422896,92,21.3,43578,19.6
703,423029,115,23.2,43604,19.6
704,424094,560,175,43699,17.8
705,425311,230,39.4,43791,19.6
706,425502,384,80.1,43815,19.6
707,426058,71,19.1,43908,19.6
708,426265,112,22.9,43932,19.6
709,426335,359,69.9,43958,19.6
710,428444,380,78.1,44085,19.3
711,430306,536,160,44212,18.5
712,430736,600,204,44237,18.2
713,430820,127,24.2,44261,19.6
714,431110,92,21.3,44354,19.6
715,432147,519,154,44448,18.5
716,432431,76,19.7,44473,19.6
717,433607,71,19.1,44568,19.6
718,435147,158,27.5,44663,19.6
719,435426,184,31.4,44764,19.6
720,436435,497,142,44858,18.5
721,438617,67,18.5,44983,19.6
722,438814,56,16.8,45010,19.6
723,439675,252,43.4,45099,19.6
724,440954,71,19.1,45194,19.6
725,441249,156,27.3,45217,19.6
726,442808,334,61.4,45346,19.6
727,443151,71,19.1,45368,19.6
728,443755,295,51.7,45462,19.6
729,444051,352,66.9,45484,19.6
730,444548,302,53.3,45509,19.6
731,444707,135,24.9,45531,19.6
